"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2011","Number","8"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2009","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2002","Number","16789"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2003","Number","15718"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2004","Number","32369"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2005","Number","49340"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2006","Number","59079"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2007","Number","53069"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2008","Number","34290"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2009","Number","20188"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2010","Number","21071"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2011","Number","50"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2012","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2013","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2014","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2015","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2016","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2017","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2010","2018","Number",""
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2002","Number","15726"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2003","Number","14665"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2004","Number","29875"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2005","Number","45201"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2006","Number","53607"
"Employment Activity of Foreign Nationals","All nationalities","Persons with employment activity in 2011","2007","Number","47392"
