"Statistic Label","Broad Nationality Group","Year of Entry","Year","UNIT","VALUE"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2002","Number","7119"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2003","Number","6167"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2004","Number","5351"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2005","Number","5129"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2006","Number","6886"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2007","Number","7129"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2008","Number","6327"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2009","Number","3855"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2010","Number","4407"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2011","Number","4336"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2012","Number","4"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2013","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2014","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2015","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2011","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2002","Number","6641"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2003","Number","5730"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2004","Number","4855"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2005","Number","4739"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2006","Number","6262"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2007","Number","6323"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2008","Number","5555"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2009","Number","3457"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2010","Number","3131"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2011","Number","5280"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2012","Number","4840"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2013","Number","11"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2014","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2015","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2012","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2002","Number","6325"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2003","Number","5481"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2004","Number","4513"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2005","Number","4322"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2006","Number","5771"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2007","Number","5747"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2008","Number","4993"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2009","Number","3136"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2010","Number","2701"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2011","Number","3936"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2012","Number","5827"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2013","Number","5984"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2014","Number","13"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2015","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2013","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2002","Number","6198"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2003","Number","5401"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2004","Number","4360"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2005","Number","4204"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2006","Number","5474"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2007","Number","5497"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2008","Number","4826"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2009","Number","3062"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2010","Number","2518"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2011","Number","3416"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2012","Number","4649"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2013","Number","8122"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2014","Number","8084"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2015","Number","6"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2014","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2002","Number","6109"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2003","Number","5447"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2004","Number","4345"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2005","Number","4242"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2006","Number","5427"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2007","Number","5424"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2008","Number","4901"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2009","Number","3084"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2010","Number","2456"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2011","Number","3225"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2012","Number","4128"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2013","Number","6661"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2014","Number","10513"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2015","Number","9059"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2016","Number","75"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2015","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2002","Number","6188"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2003","Number","5542"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2004","Number","4465"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2005","Number","4458"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2006","Number","5688"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2007","Number","5618"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2008","Number","5044"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2009","Number","3205"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2010","Number","2537"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2011","Number","3224"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2012","Number","3906"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2013","Number","5991"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2014","Number","8665"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2015","Number","10070"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2016","Number","13694"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2017","Number","24"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2016","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2002","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2003","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2004","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2005","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2006","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2007","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2008","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2009","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2010","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2011","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2012","Number","3815"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2013","Number","5610"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2014","Number","7565"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2015","Number","7986"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2016","Number","14509"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2017","Number","17304"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2017","2018","Number","43"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2002","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2003","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2004","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2005","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2006","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2007","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2008","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2009","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2010","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2011","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2012","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2013","Number","5512"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2014","Number","7217"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2015","Number","7285"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2016","Number","12266"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2017","Number","19263"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2018","2018","Number","22413"
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2002","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2003","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2004","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2005","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2006","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2007","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2008","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2009","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2010","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2011","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2012","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2013","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2014","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2015","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2019","2018","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2002","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2003","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2004","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2005","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2006","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2007","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2008","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2009","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2010","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2011","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2012","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2013","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2014","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2015","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2016","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2017","Number",""
"Employment Activity of Foreign Nationals","Other nationalities (5)","Persons with employment activity in 2020","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2002","Number","2442"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2003","Number","2307"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2004","Number","2613"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2005","Number","2739"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2006","Number","2748"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2007","Number","2805"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2008","Number","2580"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2009","Number","2032"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2010","Number","2039"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2011","Number","2176"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2012","Number","2196"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2013","Number","2496"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2014","Number","2752"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2015","Number","2752"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2016","Number","3238"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2017","Number","3667"
"Employment Activity of Foreign Nationals","American (US)","All PPSN allocations to foreign nationals aged 15 years and over","2018","Number","3455"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2002","Number","2009"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2003","Number","1773"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2004","Number","1810"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2005","Number","1460"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2006","Number","1436"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2007","Number","1456"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2008","Number","1495"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2009","Number","1328"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2010","Number","1396"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2011","Number","1442"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2012","Number","1415"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2013","Number","1626"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2014","Number","1721"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2015","Number","1720"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2016","Number","1903"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2017","Number","2209"
"Employment Activity of Foreign Nationals","American (US)","Persons with no employment activity to date","2018","Number","2196"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2002","Number","1011"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2003","Number","47"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2004","Number","9"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2005","Number","1"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2006","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2007","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2008","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2009","Number","2"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2002","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2002","Number","673"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2003","Number","976"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2004","Number","21"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2005","Number","2"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2006","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2007","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2008","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2009","Number","2"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2003","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2002","Number","445"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2003","Number","683"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2004","Number","1079"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2005","Number","30"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2006","Number","1"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2007","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2008","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2009","Number","2"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2004","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2002","Number","320"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2003","Number","414"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2004","Number","620"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2005","Number","948"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2006","Number","5"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2007","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2008","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2009","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2005","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2002","Number","293"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2003","Number","335"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2004","Number","422"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2005","Number","681"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2006","Number","969"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2007","Number","11"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2008","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2009","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2010","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2011","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2012","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2013","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2014","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2015","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2016","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2017","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2006","2018","Number",""
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2002","Number","268"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2003","Number","293"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2004","Number","356"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2005","Number","513"
"Employment Activity of Foreign Nationals","American (US)","Persons with employment activity in 2007","2006","Number","810"
